item,itemLabel,startDate,endDate
Q23907250,J. B. Erzuah,1957-03-06,
Q61524658,Alfred Jonas Dowuona-Hammond,,
Q6450030,Kwaku Boateng,1964-05-01,1966-02-24
Q104450431,Modjaben Dowuona,1966,1969
Q2580160,William Ofori Atta,1969,1971
Q7308853,R. R. Amponsah,1971,1972-01-13
,"Lieutenant-Colonel Paul Nkegbe(Education, Culture and Sport)",,
,"Colonel Emmanuel Obeng Nyante(Education, Culture and Sport)",,
Q5415879,E. Evans Anfom,1979,1979-09-24
,Francis Kwame Buah,1980,1981-12-31
Q298224,Christina Ama Ataa Aidoo,1982,1983
,V. C. Dadson,1983,
Q6297382,Joyce Aryee,1985,1987
Q20684844,Mohammed Ben Abdallah,1987,
,Adisa Munkaila,1988,1989
Q26966428,Mary Grant,1989,1993-01-07
Q5672203,Harry Sawyerr,1993,1997
Q23887883,Esi Sutherland-Addy,1997,
Q62076503,Christina Amoako-Nuamah,1997,1998
Q605985,Ekwow Spio-Garbrah,,2001-01-07
Q1086476,Christopher Ameyaw Akumfi,2001,2003
Q1794877,Kwadwo Baah Wiredu,2003,2005
Q2599806,Yaw Osafo-Maafo,2005-02-01,2006
Q1698546,Papa Owusu-Ankomah,2006-04-28,2007
,Dominic Fobi,2007-08-01,2009-01-07
Q4717883,Alex Tettey-Enyo,2009,2011
Q850396,Betty Mould-Iddrisu,2011-01-04,2012
Q6514673,Lee Ocran,2012,2012-10-24
Q6514673,Lee Ocran,2012-10-24,2013-01-07
Q14920500,Jane Naana Opoku Agyemang,2013,2017-01-06
Q28677017,Matthew Opoku Prempeh,2017-01-28,
