@@,itemlabel,item,startdate,enddate
+++,Dixon Kwame Afreh,Q84081321,,
+++,Major General Robert Kotei,Q7346451,,
+++,Kwaku Boateng,Q6450030,,
+++,Colonel I. K. Acheampong,Q472593,,
+++,Jake Obetsebi-Lamptey,Q1677605,,2003
+++,Colonel C. R. Tachie-Menson,,,
+++,Colonel Parker H.S. Yarney,,,
+++,,,,
+++,,,1957-03-06,
+++,Tawia Adamafio,Q7689280,1960,1962
+++,Imoru Egala,Q1660216,1962,
+++,T.D. Brodie Mends,Q59305655,1969-10-01,1971-01-27
+++,Major Anthony Selormey,Q72028384,1972,1972-05
+++,John S. Nabila,Q44383286,1979,1980
->,Joyce Aryee,Q6297382,1982-01-01->1982,1985-01-01->1985
+++,Kofi Totobi Quakyi,Q64009627,1985,1993
+++,Kofi Totobi Quakyi,Q64009627,1993,2001
+++,Nana Akomea,Q1964413,2003,2005
+++,Daniel Kwaku Botwe,Q1160142,2005,2006
+++,Kwamena Bartels,Q1794914,2006,2007
+++,Florence Oboshie Sai-Cofie,Q1229262,2007,2008
+++,Stephen Asamoah Boateng,Q2344521,2008,2009
+++,Zita Okaikoi,Q8072826,2009,2010
+++,John Tia,Q6260811,2010,2012
+++,Fritz Baffour,Q5504853,2012,2013
+++,Fritz Baffour,Q5504853,2012,2012
+++,Mahama Ayariga,Q6732981,2013-01-30,2014-07-16
+++,Mustapha Abdul-Hamid,Q28924956,2017-02,2018-08
+++,Kojo Oppong Nkrumah,Q20202651,2018-08,
